seq,task_id,title,category,implementation_status,screen,route,page_entry,depends_on,requirement_ref,priority,detail_file,detail_file_exists,wave_id
1,PAGE-SCR001,메인 페이지 조립,PAGE_OWNER,IMPLEMENT,SCR-001,/,src/app/page.tsx,CMP-SCR001-HERO-SEARCH;CMP-SCR001-DESTINATIONS;CMP-SCR001-SAFETY-PANEL;CMP-SCR001-MATE-PREVIEW;CMP-SCR001-ABOUT-SUMMARY;DATA-DESTINATIONS;DATA-SAFETY;DATA-REPRESENTATIVE;SHR-HEADER-FOOTER;SHR-DRAWER-MODAL;SHR-EMPTY-STATE;SHR-FAVORITES-STORAGE;SHR-SHARE-LINK;SHR-SEO-METADATA,REQ-FUNC-064;REQ-FUNC-065;REQ-FUNC-078;REQ-FUNC-079,P0,TASK-PAGE-SCR001.md,true,W05
2,PAGE-SCR002,대표 소개 페이지 조립,PAGE_OWNER,IMPLEMENT,SCR-002,/about,src/app/about/page.tsx,CMP-SCR002-HERO-STATS;CMP-SCR002-INTRO;CMP-SCR002-TIMELINE;CMP-SCR002-COUNTRY-CHIPS;CMP-SCR002-GALLERY;CMP-SCR002-MEMORABLE-CTA;DATA-REPRESENTATIVE;SHR-HEADER-FOOTER;SHR-SEO-METADATA,REQ-FUNC-064;REQ-FUNC-065;REQ-FUNC-078;REQ-FUNC-079,P0,TASK-PAGE-SCR002.md,true,W06
3,PAGE-SCR003,통합 여행 준비 페이지 조립,PAGE_OWNER,IMPLEMENT,SCR-003,/travel-tools,src/app/travel-tools/page.tsx,CMP-SCR003-FLIGHT-FORM;CMP-SCR003-HOTEL-FORM;CMP-SCR003-MATE-WRITE;INFRA-OUTBOUND-LINKS;INFRA-AUTH;SHR-HEADER-FOOTER;SHR-TOAST-NOTIFY;SHR-SEO-METADATA,REQ-FUNC-064;REQ-FUNC-065;REQ-FUNC-078;REQ-FUNC-079,P0,TASK-PAGE-SCR003.md,true,W07
4,PAGE-SCR004,동행 조회 페이지 조립,PAGE_OWNER,IMPLEMENT,SCR-004,/mates,src/app/mates/page.tsx,CMP-SCR004-FILTER;CMP-SCR004-LIST;CMP-SCR004-DETAIL;CMP-SCR004-APPLY;CMP-SCR004-REPORT;CMP-SCR004-BLOCK;DB-ACCESS;SHR-HEADER-FOOTER;SHR-DRAWER-MODAL;SHR-EMPTY-STATE;SHR-TOAST-NOTIFY;SHR-SEO-METADATA,REQ-FUNC-064;REQ-FUNC-065;REQ-FUNC-078;REQ-FUNC-079,P0,TASK-PAGE-SCR004.md,true,W08
5,PAGE-SCR005,계정·관리 페이지 조립,PAGE_OWNER,IMPLEMENT,SCR-005,/account,src/app/account/page.tsx,CMP-SCR005-AUTH;CMP-SCR005-PROFILE;CMP-SCR005-MY-ACTIVITY;CMP-SCR005-ADMIN;DB-ACCESS;INFRA-AUTH;SHR-HEADER-FOOTER;SHR-EMPTY-STATE;SHR-TOAST-NOTIFY,REQ-FUNC-064;REQ-FUNC-065;REQ-FUNC-078;REQ-FUNC-079,P0,TASK-PAGE-SCR005.md,true,W09
6,CMP-SCR001-HERO-SEARCH,검색 Hero + 통합 검색,COMPONENT,IMPLEMENT,SCR-001,—,—,DATA-DESTINATIONS;DATA-SAFETY,REQ-FUNC-003;REQ-FUNC-067,P1,TASK-CMP-SCR001-HERO-SEARCH.md,true,W05
7,CMP-SCR001-DESTINATIONS,국내·해외 여행지 Card Grid + 상세 Drawer,COMPONENT,IMPLEMENT(간소화),SCR-001,—,—,DATA-DESTINATIONS;SHR-DRAWER-MODAL;SHR-EMPTY-STATE;SHR-FAVORITES-STORAGE;SHR-SHARE-LINK,REQ-FUNC-001;REQ-FUNC-002;REQ-FUNC-004;REQ-FUNC-005;REQ-FUNC-006;REQ-FUNC-007;REQ-FUNC-009;REQ-FUNC-010;REQ-FUNC-068;REQ-FUNC-069,P0,TASK-CMP-SCR001-DESTINATIONS.md,true,W05
8,CMP-SCR001-SAFETY-PANEL,국가별 주의사항 Card Grid + 안전정보 Drawer,COMPONENT,IMPLEMENT,SCR-001,—,—,DATA-SAFETY;SHR-DRAWER-MODAL,REQ-FUNC-047;REQ-FUNC-048;REQ-FUNC-049;REQ-FUNC-050;REQ-FUNC-051;REQ-FUNC-052;REQ-FUNC-053;REQ-FUNC-054,P0,TASK-CMP-SCR001-SAFETY-PANEL.md,true,W05
9,CMP-SCR001-MATE-PREVIEW,최근 동행글 미리보기 + Empty State,COMPONENT,IMPLEMENT,SCR-001,—,—,DB-ACCESS;SHR-EMPTY-STATE,REQ-FUNC-030;REQ-FUNC-037,P1,TASK-CMP-SCR001-MATE-PREVIEW.md,true,W05
10,CMP-SCR001-ABOUT-SUMMARY,free_traveler 요약 배너,COMPONENT,IMPLEMENT,SCR-001,—,—,DATA-REPRESENTATIVE,REQ-FUNC-057,P2,TASK-CMP-SCR001-ABOUT-SUMMARY.md,true,W05
11,CMP-SCR002-HERO-STATS,프로필 Hero + 여행 지표,COMPONENT,IMPLEMENT,SCR-002,—,—,DATA-REPRESENTATIVE,REQ-FUNC-057,P1,TASK-CMP-SCR002-HERO-STATS.md,true,W06
12,CMP-SCR002-INTRO,소개·철학 텍스트,COMPONENT,IMPLEMENT,SCR-002,—,—,DATA-REPRESENTATIVE,REQ-FUNC-058,P2,TASK-CMP-SCR002-INTRO.md,true,W06
13,CMP-SCR002-TIMELINE,여행 Timeline,COMPONENT,IMPLEMENT,SCR-002,—,—,DATA-REPRESENTATIVE,REQ-FUNC-060,P1,TASK-CMP-SCR002-TIMELINE.md,true,W06
14,CMP-SCR002-COUNTRY-CHIPS,방문 국가 Chip(권역별),COMPONENT,IMPLEMENT,SCR-002,—,—,DATA-REPRESENTATIVE,REQ-FUNC-059,P1,TASK-CMP-SCR002-COUNTRY-CHIPS.md,true,W06
15,CMP-SCR002-GALLERY,여행 Gallery,COMPONENT,IMPLEMENT(간소화),SCR-002,—,—,DATA-REPRESENTATIVE,REQ-FUNC-061,P2,TASK-CMP-SCR002-GALLERY.md,true,W06
16,CMP-SCR002-MEMORABLE-CTA,기억에 남는 여행지 + CTA 배너,COMPONENT,IMPLEMENT(간소화),SCR-002,—,—,DATA-REPRESENTATIVE,REQ-FUNC-062;REQ-FUNC-063,P2,TASK-CMP-SCR002-MEMORABLE-CTA.md,true,W06
17,CMP-SCR003-FLIGHT-FORM,항공편 탭(입력·검증·요약·외부이동·Tip),COMPONENT,IMPLEMENT,SCR-003,—,—,INFRA-OUTBOUND-LINKS,REQ-FUNC-011;REQ-FUNC-012;REQ-FUNC-013;REQ-FUNC-014;REQ-FUNC-015;REQ-FUNC-016;REQ-FUNC-017;REQ-FUNC-018;REQ-FUNC-054;REQ-NF-017,P0,TASK-CMP-SCR003-FLIGHT-FORM.md,true,W07
18,CMP-SCR003-HOTEL-FORM,숙소 탭(입력·검증·요약·외부이동·Tip),COMPONENT,IMPLEMENT,SCR-003,—,—,INFRA-OUTBOUND-LINKS,REQ-FUNC-019;REQ-FUNC-020;REQ-FUNC-021;REQ-FUNC-022;REQ-FUNC-023;REQ-FUNC-024;REQ-FUNC-025;REQ-FUNC-026;REQ-NF-017,P0,TASK-CMP-SCR003-HOTEL-FORM.md,true,W07
19,CMP-SCR003-MATE-WRITE,동행 구하기 탭(작성 Form 또는 로그인 안내),COMPONENT,IMPLEMENT,SCR-003,—,—,DB-ACCESS;INFRA-AUTH,REQ-FUNC-027;REQ-FUNC-028;REQ-FUNC-029;REQ-FUNC-031;REQ-FUNC-032;REQ-FUNC-033;REQ-FUNC-080,P0,TASK-CMP-SCR003-MATE-WRITE.md,true,W07
20,CMP-SCR004-FILTER,검색 Filter + 결과 요약,COMPONENT,IMPLEMENT,SCR-004,—,—,DB-ACCESS,REQ-FUNC-030,P1,TASK-CMP-SCR004-FILTER.md,true,W08
21,CMP-SCR004-LIST,동행글 목록 Card List + Empty State,COMPONENT,IMPLEMENT,SCR-004,—,—,DB-ACCESS;SHR-EMPTY-STATE,REQ-FUNC-030;REQ-FUNC-037,P0,TASK-CMP-SCR004-LIST.md,true,W08
22,CMP-SCR004-DETAIL,상세 패널(Desktop)/Drawer(Mobile),COMPONENT,IMPLEMENT,SCR-004,—,—,DB-ACCESS;SHR-DRAWER-MODAL;SHR-SHARE-LINK,REQ-FUNC-033;REQ-FUNC-069,P0,TASK-CMP-SCR004-DETAIL.md,true,W08
23,CMP-SCR004-APPLY,참가 요청 제출 + 중복 차단,COMPONENT,IMPLEMENT,SCR-004,—,—,DB-ACCESS;INFRA-AUTH;SHR-TOAST-NOTIFY,REQ-FUNC-034;REQ-FUNC-035;REQ-NF-019,P0,TASK-CMP-SCR004-APPLY.md,true,W08
